Champion,Pos,GP,P%,B%,W%,CTR%,K,D,A,KDA,KP,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,GOLD%,WPM,WCPM,Cluster,PC1,PC2,Pos_Color,Presence,Meta_Tier
Jarvan IV,Jungle,21,26.3,6.3,52.0,33.0,2.7142857142857144,3.6666666666666665,10.952380952380953,3.7,84.7,21.9,43.0,17.0,85.0,3.0,6.4,18.7,392.0,14.4,19.2,0.33,0.37,1,-0.9611871976589282,0.760543639578364,1,32.6,A
Jax,Top,5,6.3,3.8,40.0,100.0,4.0,4.4,2.2,1.4,41.3,26.2,20.0,-274.0,-442.0,-1.8,7.6,22.4,493.0,18.1,21.9,0.44,0.15,1,0.485491309472636,-3.179844689528829,0,10.1,B
Jayce,Top,1,1.3,1.3,0.0,100.0,1.0,6.0,2.0,0.5,42.9,24.0,0.0,200.0,-903.0,12.0,7.7,26.5,566.0,27.1,21.2,0.51,0.2,1,0.7077270466046512,-4.047532498870666,0,2.6,C
Jhin,ADC,4,5.0,5.0,50.0,75.0,3.0,2.0,8.5,5.8,76.7,13.6,50.0,-156.0,-315.0,-9.0,8.8,28.3,648.0,23.7,23.3,0.38,0.26,1,1.2842066157776872,1.253626624751403,3,10.0,B
Jinx,ADC,1,1.3,0.0,0.0,0.0,5.0,1.0,9.0,14.0,82.4,10.0,0.0,-461.0,-952.0,-26.0,8.1,31.0,696.0,26.5,25.5,0.45,0.4,0,1.7495707791475417,3.321009553779108,3,1.3,C
K'Sante,Top,26,32.5,6.3,35.0,35.0,1.6923076923076923,2.3076923076923075,5.0,2.9,52.7,14.8,12.0,-149.0,-63.0,-2.2,7.8,22.4,464.0,18.8,20.4,0.37,0.18,1,0.4683046958714542,-1.093640212182364,0,38.8,B
Kai'Sa,ADC,18,22.5,21.3,33.0,44.0,5.0,3.2777777777777777,4.222222222222222,2.8,71.6,18.1,28.0,98.0,124.0,1.8,9.4,31.0,650.0,26.3,27.9,0.45,0.33,3,2.1896455563394235,-0.42222632496607343,3,43.8,B
Kalista,ADC,2,2.5,1.3,100.0,0.0,7.5,1.0,6.5,14.0,84.8,20.0,50.0,346.0,34.0,13.5,9.2,31.5,882.0,27.9,27.8,0.55,0.45,3,3.1623950204935163,3.024130889899703,3,3.8,C
Karma,Support,5,6.3,13.8,40.0,80.0,0.0,2.6,7.8,3.0,75.0,23.2,60.0,-46.0,-7.0,-4.4,1.0,2.3,215.0,9.1,9.7,1.88,0.46,2,-4.601188299696234,0.6688493452341372,4,20.1,B
Kassadin,Middle,1,1.3,0.0,0.0,100.0,0.0,3.0,2.0,0.7,66.7,14.3,0.0,-455.0,219.0,-8.0,8.3,27.5,401.0,26.1,21.5,0.37,0.07,1,0.7860656331937381,-2.0911224962934285,2,1.3,C
Kled,Top,1,1.3,1.3,0.0,100.0,2.0,4.0,2.0,1.0,80.0,20.0,0.0,96.0,33.0,-9.0,9.4,31.4,396.0,18.9,29.1,0.26,0.16,1,1.325666535398161,-1.718052226202582,0,2.6,C
LeBlanc,Middle,4,5.0,8.8,75.0,75.0,6.5,2.75,5.75,4.5,71.0,19.0,50.0,183.0,-138.0,1.8,7.8,20.3,800.0,28.4,23.6,0.18,0.26,3,2.046575035260093,0.2952560105595425,2,13.8,B
Leona,Support,15,18.8,7.5,53.0,73.0,0.4666666666666667,3.8,10.4,2.9,69.4,22.5,20.0,-33.0,47.0,2.6,1.0,1.9,196.0,7.2,9.2,2.05,0.45,2,-4.904451618756487,0.20169037332672263,4,26.3,B
Lucian,ADC,9,11.3,3.8,44.0,56.0,4.222222222222222,2.4444444444444446,5.111111111111111,3.8,68.9,19.0,33.0,147.0,302.0,2.4,9.3,30.9,815.0,28.6,25.9,0.47,0.44,3,2.2765777622909216,0.26694098119106946,3,15.100000000000001,B
Lulu,Support,4,5.0,6.3,25.0,50.0,0.5,1.5,9.75,6.8,73.2,12.5,25.0,-63.0,225.0,2.5,1.1,2.5,158.0,7.2,9.4,1.8,0.51,2,-4.307246035392903,2.0871873274528094,4,11.3,C
Maokai,Jungle,2,2.5,3.8,0.0,100.0,0.5,3.0,1.0,0.5,33.3,19.4,50.0,-21.0,138.0,-2.0,5.9,14.6,508.0,22.6,16.2,0.37,0.17,1,-0.1372839760890987,-2.798866134117574,1,6.3,C
Mel,Middle,3,3.8,0.0,100.0,33.0,8.666666666666666,4.0,6.0,3.7,64.7,25.5,0.0,213.0,154.0,8.0,7.4,21.5,874.0,24.9,22.4,0.54,0.18,3,1.9847819226222339,-0.9533463484972244,2,3.8,C
Miss Fortune,ADC,2,2.5,1.3,50.0,100.0,4.0,2.0,6.5,5.3,70.0,15.4,0.0,63.0,-4.0,9.0,10.1,31.9,671.0,29.9,26.8,0.51,0.47,3,2.3159253401822357,0.6519466176891707,3,3.8,C
Mordekaiser,Top,8,10.0,2.5,38.0,88.0,3.0,3.625,3.5,1.8,47.7,20.7,0.0,104.0,233.0,2.5,7.6,22.4,584.0,21.7,20.9,0.38,0.12,1,1.0176100779925168,-2.3379159545732313,0,12.5,C
Morgana,Support,1,1.3,0.0,0.0,100.0,0.0,6.0,5.0,0.8,83.3,42.9,0.0,-145.0,318.0,-4.0,1.0,2.7,255.0,11.0,9.3,1.86,0.54,2,-5.157489292302337,-1.9963073237396332,4,1.3,C
Naafiri,Jungle,5,6.3,0.0,60.0,60.0,4.8,3.0,5.6,3.5,70.3,24.2,40.0,0.0,-113.0,-1.6,7.2,22.4,485.0,19.0,20.9,0.31,0.19,1,0.5523525753195254,-0.5852320424966293,1,6.3,C
